"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","THREATENED","MAMMAL","PC_SPECIES","A","2020",28.61,
"AUT","THREATENED","MAMMAL","PC_SPECIES","A","2020",26.733,
"BEL","THREATENED","MAMMAL","PC_SPECIES","A","2020",21.429,
"CAN","THREATENED","MAMMAL","PC_SPECIES","A","2020",23.529,
"CZE","THREATENED","MAMMAL","PC_SPECIES","A","2020",16.304,
"DNK","THREATENED","MAMMAL","PC_SPECIES","A","2020",16.418,
"FIN","THREATENED","MAMMAL","PC_SPECIES","A","2020",9.333,
"FRA","THREATENED","MAMMAL","PC_SPECIES","A","2020",13.6,
"DEU","THREATENED","MAMMAL","PC_SPECIES","A","2020",34.409,
"GRC","THREATENED","MAMMAL","PC_SPECIES","A","2020",25.217,
"HUN","THREATENED","MAMMAL","PC_SPECIES","A","2020",16.092,
"IRL","THREATENED","MAMMAL","PC_SPECIES","A","2020",1.754,
"ITA","THREATENED","MAMMAL","PC_SPECIES","A","2020",18.254,
"JPN","THREATENED","MAMMAL","PC_SPECIES","A","2020",20.625,
"KOR","THREATENED","MAMMAL","PC_SPECIES","A","2020",11.2,
"MEX","THREATENED","MAMMAL","PC_SPECIES","A","2020",26.773,
"NLD","THREATENED","MAMMAL","PC_SPECIES","A","2020",20.755,
"NOR","THREATENED","MAMMAL","PC_SPECIES","A","2020",19.101,
"POL","THREATENED","MAMMAL","PC_SPECIES","A","2020",11.712,
"PRT","THREATENED","MAMMAL","PC_SPECIES","A","2020",19.62,
"SVK","THREATENED","MAMMAL","PC_SPECIES","A","2020",22.222,
"ESP","THREATENED","MAMMAL","PC_SPECIES","A","2020",14.943,
"SWE","THREATENED","MAMMAL","PC_SPECIES","A","2020",21.538,
"CHE","THREATENED","MAMMAL","PC_SPECIES","A","2020",36.559,
"TUR","THREATENED","MAMMAL","PC_SPECIES","A","2020",14.286,
"GBR","THREATENED","MAMMAL","PC_SPECIES","A","2020",11.11,
"USA","THREATENED","MAMMAL","PC_SPECIES","A","2020",36.837,
"CHL","THREATENED","MAMMAL","PC_SPECIES","A","2020",19.459,
"COL","THREATENED","MAMMAL","PC_SPECIES","A","2020",8.015,
"CRI","THREATENED","MAMMAL","PC_SPECIES","A","2020",4.846,
"EST","THREATENED","MAMMAL","PC_SPECIES","A","2020",4.545,
"LVA","THREATENED","MAMMAL","PC_SPECIES","A","2020",8.065,
"LTU","THREATENED","MAMMAL","PC_SPECIES","A","2020",10.294,
"SVN","THREATENED","MAMMAL","PC_SPECIES","A","2020",38.202,
